Step_Index,Voltage,Test_Time,SoC,discharge_new
2,2.94,18150.0,0.0124041506369311,-1.8841961666666664
2,2.6,18330.0,0.002346420198189,-1.904202055555556
1,4.07,199.0,0.9924494002274789,0.0253558055555555
1,4.08,379.0,0.9982639536865308,0.0368408611111111
2,4.03,94.0,0.9947073137604554,0.0298483333333333
2,4.0,274.0,0.9845740133835056,0.0098327777777777
2,3.98,454.0,0.9744430896688236,-0.0101780833333333
2,3.96,634.0,0.9643090580111758,-0.0301950833333333
2,3.93,814.0,0.9541768123660016,-0.0502085555555555
2,3.91,994.0,0.944045002676628,-0.0702211666666666
2,3.9,1174.0,0.9339117304258588,-0.0902366666666666
2,3.88,1354.0,0.923783450572161,-0.1102423055555555
2,3.87,1534.0,0.913652076838588,-0.1302540555555555
2,3.85,1714.0,0.9035189733449028,-0.1502692222222222
2,3.84,1894.0,0.8933811446528629,-0.1702937222222222
2,3.83,2074.0,0.883250558452349,-0.1903039166666666
2,3.82,2254.0,0.8731215332548632,-0.2103110277777777
2,3.81,2434.0,0.8629928877608165,-0.2303173888888889
2,3.8,2614.0,0.852859559257686,-0.250333
2,3.79,2794.0,0.8427244588051723,-0.2703521111111111
2,3.77,2974.0,0.8325934788381288,-0.2903630833333333
2,3.76,3154.0,0.8224610081835091,-0.310377
2,3.75,3334.0,0.8123301266580981,-0.3303877777777778
2,3.74,3514.0,0.8021981904009114,-0.3504006388888889
2,3.73,3694.0,0.7920636102827404,-0.3704187222222223
2,3.71,4127.0,0.7676983781009783,-0.4185455555555556
2,3.7,4307.0,0.7575650214716669,-0.4385612222222222
2,3.69,4487.0,0.7474295835049851,-0.4585809999999999
2,3.68,4667.0,0.7372973519229011,-0.4785944444444444
2,3.67,4847.0,0.727165767242973,-0.4986066111111111
2,3.66,5027.0,0.7170371920643781,-0.5186128333333333
2,3.65,5207.0,0.7069086731381446,-0.5386189444444445
2,3.64,5387.0,0.6967792541741291,-0.5586268333333333
2,3.63,5567.0,0.6866494414435841,-0.5786355000000001
2,3.62,5747.0,0.6765178567636561,-0.5986476666666667
2,3.61,5927.0,0.6663869049227933,-0.6186585833333333
2,3.6,6107.0,0.6562561921544663,-0.6386690277777778
2,3.59,6287.0,0.6461241574556472,-0.6586820833333333
2,3.58,6467.0,0.6359899570409153,-0.6786994166666667
2,3.57,6647.0,0.6258588505060589,-0.6987106388888888
2,3.56,6827.0,0.6157249313531339,-0.7187274166666666
2,3.55,7007.0,0.6055876370585269,-0.7387508611111111
2,3.55,7187.0,0.5954551804669975,-0.7587647500000001
2,3.54,7367.0,0.5853241020583217,-0.7787759166666666
2,3.53,7547.0,0.575194879977571,-0.7987834166666666
2,3.52,7727.0,0.5650646172281351,-0.8187929722222222
2,3.51,7907.0,0.5549314293559079,-0.8388083055555556
2,3.5,8087.0,0.5448014197420981,-0.8588173611111112
2,3.49,8267.0,0.5346699475668927,-0.8788293055555556
2,3.49,8447.0,0.5245389957260299,-0.8988402222222223
2,3.48,8627.0,0.5144111096388617,-0.9188450833333336
